Name{string},Alternate Spelling{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},Point_Features{point},Reference{string},Comments{string},_the_sort{serial}
"Abu",,"Honshu-Japan","Shield volcanoes","34.5","131.6","641","POINT(131.6 34.5)",,,"1"
"Acamarachi",,"Chile-N","Stratovolcano","-23.3","-67.62","6046","POINT(-67.62 -23.3)",,,"2"
"Acatenango",,"Guatemala","Stratovolcano","14.5","-90.88","3976","POINT(-90.88 14.5)",,,"3"
"Acigöl-Nevsehir",,"Turkey","Caldera","38.57","34.52","1689","POINT(34.52 38.57)",,,"4"
"Adams",,"US-Washington","Stratovolcano","46.21","-121.49","3742","POINT(-121.49 46.21)",,,"5"
"Adams Seamount",,"Pacific-C","Submarine volcano","-25.37","-129.27","-39","POINT(-129.27 -25.37)",,,"6"
"Adatara",,"Honshu-Japan","Stratovolcanoes","37.64","140.29","1718","POINT(140.29 37.64)",,,"7"
"Adwa",,"Ethiopia","Stratovolcano","10.07","40.84","1733","POINT(40.84 10.07)",,,"8"
"Afderà",,"Ethiopia","Stratovolcano","13.08","40.85","1295","POINT(40.85 13.08)",,,"9"
"Agrigan",,"Mariana Is-C Pacific","Stratovolcano","18.77","145.67","965","POINT(145.67 18.77)",,,"10"
"Agua",,"Guatemala","Stratovolcano","14.47","-90.74","3760","POINT(-90.74 14.47)",,,"11"
"Agua de Pau",,"Azores","Stratovolcano","37.77","-25.47","947","POINT(-25.47 37.77)",,,"12"
"Aguilera",,"Chile-S","Stratovolcano","-50.33","-73.75","2546","POINT(-73.75 -50.33)",,,"13"
"Agung",,"Lesser Sunda Is","Stratovolcano","-8.34","115.51","3142","POINT(115.51 -8.34)",,,"14"
"Ahyi",,"Mariana Is-C Pacific","Submarine volcano","20.42","145.03","-137","POINT(145.03 20.42)",,,"15"
"Akademia Nauk",,"Kamchatka","Stratovolcanoes","53.98","159.45","1180","POINT(159.45 53.98)",,,"16"
"Akagi",,"Honshu-Japan","Stratovolcano","36.56","139.2","1828","POINT(139.2 36.56)",,,"17"
"Akan",,"Hokkaido-Japan","Caldera","43.38","144.01","1499","POINT(144.01 43.38)",,,"18"
"Akhtang",,"Kamchatka","Shield volcano","55.43","158.65","1956","POINT(158.65 55.43)",,,"19"
"Akita-Komaga-take",,"Honshu-Japan","Stratovolcanoes","39.76","140.8","1637","POINT(140.8 39.76)",,,"20"
"Akita-Yake-yama",,"Honshu-Japan","Stratovolcano","39.96","140.76","1366","POINT(140.76 39.96)",,,"21"
"Akuseki-jima",,"Ryukyu Is","Stratovolcanoes","29.46","129.6","584","POINT(129.6 29.46)",,,"22"
"Akutan",,"Aleutian Is","Stratovolcano","54.13","-165.99","1303","POINT(-165.99 54.13)",,,"23"
"Alaid",,"Kuril Is","Stratovolcano","50.86","155.55","2339","POINT(155.55 50.86)",,,"24"
"Alamagan",,"Mariana Is-C Pacific","Stratovolcano","17.6","145.83","744","POINT(145.83 17.6)",,,"25"
"Alayta",,"Ethiopia","Shield volcano","12.88","40.57","1501","POINT(40.57 12.88)",,,"26"
"Alban Hills",,"Italy","Caldera","41.73","12.7","949","POINT(12.7 41.73)",,,"27"
"Alcedo",,"Galápagos","Shield volcano","-0.43","-91.12","1130","POINT(-91.12 -0.43)",,,"28"
"Ale Bagu",,"Ethiopia","Stratovolcano","13.52","40.63","1031","POINT(40.63 13.52)",,,"29"
"Alid",,"Ethiopia","Stratovolcano","14.88","39.92","904","POINT(39.92 14.88)",,,"30"
"Alligator Lake",,"Canada","Volcanic field","60.42","-135.42","2217","POINT(-135.42 60.42)",,,"31"
"Almolonga",,"Guatemala","Stratovolcano","14.82","-91.48","3197","POINT(-91.48 14.82)",,,"32"
"Alney-Chashakondzha",,"Kamchatka","Stratovolcano","56.7","159.65","2598","POINT(159.65 56.7)",,,"33"
"Alngey",,"Kamchatka","Stratovolcano","57.7","160.4","1853","POINT(160.4 57.7)",,,"34"
"Alu",,"Ethiopia","Fissure vents","13.82","40.55","429","POINT(40.55 13.82)",,,"35"
"Alutu",,"Ethiopia","Stratovolcano","7.77","38.78","2335","POINT(38.78 7.77)",,,"36"
"Amak",,"Aleutian Is","Stratovolcano","55.42","-163.15","488","POINT(-163.15 55.42)",,,"37"
"Amasing",,"Halmahera-Indonesia","Stratovolcanoes","-0.53","127.48","1030","POINT(127.48 -0.53)",,,"38"
"Ambalatungan Group",,"Luzon-Philippines","Compound volcano","17.32","121.1","2329","POINT(121.1 17.32)",,,"39"
"Ambang",,"Sulawesi-Indonesia","Complex volcano","0.75","124.42","1795","POINT(124.42 0.75)",,,"40"
"Ambitle",,"New Ireland-SW Pacific","Stratovolcano","-4.08","153.65","450","POINT(153.65 -4.08)",,,"41"
"Ambre-Bobaomby",,"Madagascar","Volcanic field","-12.6","49.15","1475","POINT(49.15 -12.6)",,,"42"
"Ambrym",,"Vanuatu-SW Pacific","Pyroclastic shield","-16.25","168.12","1334","POINT(168.12 -16.25)",,,"43"
"Amorong",,"Luzon-Philippines","Lava domes","15.83","120.81","376","POINT(120.81 15.83)",,,"44"
"Amsterdam Island",,"Indian O.-S","Stratovolcano","-37.83","77.52","881","POINT(77.52 -37.83)",,,"45"
"Amukta",,"Aleutian Is","Stratovolcano","52.5","-171.25","1066","POINT(-171.25 52.5)",,,"46"
"Anatahan",,"Mariana Is-C Pacific","Stratovolcano","16.35","145.67","790","POINT(145.67 16.35)",,,"47"
"Anaun",,"Kamchatka","Stratovolcano","56.32","158.83","1828","POINT(158.83 56.32)",,,"48"
"Andahua-Orcopampa",,"Perú","Cinder cones","-15.42","-72.33","4713","POINT(-72.33 -15.42)",,,"49"
"Andrus",,"Antarctica","Shield volcanoes","-75.8","-132.33","2978","POINT(-132.33 -75.8)",,,"50"
"Aneityum",,"Vanuatu-SW Pacific","Stratovolcanoes","-20.2","169.78","852","POINT(169.78 -20.2)",,,"51"
"Aniakchak",,"Alaska Peninsula","Caldera","56.88","-158.17","1341","POINT(-158.17 56.88)",,,"52"
"Ankaizina Field",,"Madagascar","Cinder cones","-14.3","48.67","2878","POINT(48.67 -14.3)",,,"53"
"Ankaratra Field",,"Madagascar","Cinder cones","-19.4","47.2","2644","POINT(47.2 -19.4)",,,"54"
"Antillanca Group",,"Chile-C","Stratovolcanoes","-40.77","-72.15","1990","POINT(-72.15 -40.77)",,,"55"
"Antipodes Island",,"Pacific-S","Pyroclastic cones","-49.68","178.77","402","POINT(178.77 -49.68)",,,"56"
"Antisana",,"Ecuador","Stratovolcano","-0.48","-78.14","5753","POINT(-78.14 -0.48)",,,"57"
"Antofagasta de la Sierra",,"Argentina","Scoria cones","-26.08","-67.5","4000","POINT(-67.5 -26.08)",,,"58"
"Antuco",,"Chile-C","Stratovolcano","-37.41","-71.35","2979","POINT(-71.35 -37.41)",,,"59"
"Aoba",,"Vanuatu-SW Pacific","Shield volcano","-15.4","167.83","1496","POINT(167.83 -15.4)",,,"60"
"Aoga-shima",,"Izu Is-Japan","Stratovolcano","32.45","139.76","423","POINT(139.76 32.45)",,,"61"
"Apagado",,"Chile-S","Pyroclastic cone","-41.88","-72.58","1210","POINT(-72.58 -41.88)",,,"62"
"Apaneca Range",,"El Salvador","Stratovolcanoes","13.89","-89.79","2036","POINT(-89.79 13.89)",,,"63"
"Apastepeque Field",,"El Salvador","Volcanic field","13.72","-88.77","700","POINT(-88.77 13.72)",,,"64"
"Apo",,"Mindanao-Philippines","Stratovolcano","6.99","125.27","2938","POINT(125.27 6.99)",,,"65"
"Apoyeque",,"Nicaragua","Pyroclastic shield","12.24","-86.34","518","POINT(-86.34 12.24)",,,"66"
"Aracar",,"Argentina","Stratovolcano","-24.25","-67.77","6082","POINT(-67.77 -24.25)",,,"67"
"Aragats",,"Armenia","Stratovolcano","40.53","44.2","4095","POINT(44.2 40.53)",,,"68"
